502529	565655	505503	568632	97.940
3276811	3338540	3017907	3079636	97.023
1238365	1288861	1136823	1187322	97.962
1064809	1115151	960857	1011202	97.151
2562984	2612156	2328140	2377334	97.453
4377399	4425292	4095629	4143519	98.023
1115292	1160857	1011197	1056750	97.884
83562	128213	78189	122839	97.689
3458259	3503782	3195995	3241515	96.851
2272378	2313462	1969991	2011070	99.382
2861072	2908089	2616136	2663163	95.032
2058829	2100947	1798649	1840774	97.997
3209790	3249284	2978390	3017903	97.829
1187680	1224779	1088360	1125455	97.955
4794573	4831682	4555934	4593045	97.898
27307	65283	22305	60280	97.126
3699416	3736285	3440881	3477772	97.797
2660241	2696477	2419646	2455882	97.817
2016725	2052865	1762322	1798465	97.706
1902904	1938044	1648549	1683676	97.843
1843546	1878421	1593473	1628359	97.618
230486	266025	229705	265271	96.454
4089707	4123832	3822759	3856879	97.237
163303	195629	162760	195078	96.683
1982620	2014683	1726307	1758381	96.851
3738044	3768790	3477848	3508584	98.094
3640758	3671951	3383705	3414901	97.394
1938227	1968319	1683684	1713773	97.850
2981979	3011746	2733934	2763708	97.630
2938734	2968766	2689640	2719668	97.284
3816355	3845958	3581729	3611355	97.290
4021568	4051163	3759171	3788771	96.998
2746932	2776530	2513854	2543446	96.896
2428578	2457902	2207866	2237168	96.738
990084	1017577	890856	918350	97.796
3788538	3814822	3536810	3563104	98.977
2525372	2551915	2300592	2327136	98.064
3673400	3699263	3415022	3440874	98.079
4499888	4525771	4233379	4259269	97.876
4426082	4451994	4143577	4169490	97.627
3530576	3555958	3277019	3302396	97.668
3851157	3876807	3611385	3637036	97.315
851885	875705	796780	820601	97.801
197800	221000	196984	220186	98.324
3184482	3207915	2915906	2939342	97.811
2343088	2367174	2115556	2139650	96.835
1463379	1486771	1350875	1374253	97.525
4948728	4971280	4592909	4615477	98.458
2143775	2166297	1880480	1903012	97.897
3935575	3959159	3703498	3727059	96.405
4299509	4323135	4049061	4072689	96.334
618300	641207	592824	615734	96.702
686244	709106	645090	667962	96.267
4642928	4663898	4380495	4401462	98.622
2184846	2207091	1917479	1939722	96.749
1877901	1898525	1627932	1648558	97.916
2102710	2122405	1840775	1860470	98.086
5029668	5049759	4676079	4696187	97.226
4059525	4079367	3794823	3814666	97.611
716692	736205	675402	694912	97.940
1696225	1715837	1529602	1549215	97.777
1611825	1631723	1463255	1483142	97.246
2824759	2844000	2593611	2612852	98.228
2636812	2657198	2399247	2419633	96.219
3768900	3788265	3517266	3536630	97.537
363908	383871	382186	402136	96.331
1319468	1338230	1260580	1279347	97.917
1378723	1396780	1318195	1336246	98.118
2702951	2721561	2462382	2480992	96.717
971647	989088	873384	890813	97.334
1770875	1788521	1225345	1207713	96.963
3876877	3894270	3637034	3654423	96.594
4978302	4994956	4622088	4638740	97.796
3080737	3097409	2795354	2812028	97.577
792732	810318	754673	772273	95.831
4587973	4604402	4315117	4331546	97.864
1354947	1371233	1292122	1308405	97.956
5000978	5017565	4639550	4656139	96.300
3054394	3070256	2769541	2785401	97.592
2502364	2518456	2277602	2293696	96.889
3588551	3604471	3329098	3345018	96.859
3147341	3163625	2872578	2888859	95.733
1163570	1179012	1059798	1075227	97.151
3894269	3909837	3654488	3670056	96.455
2469894	2485477	2244909	2260481	96.407
3104818	3119878	2820124	2835184	97.397
4160651	4176032	3884935	3900312	96.737
736962	751258	695069	709363	98.195
4673198	4687563	4409694	4424056	97.662
3574362	3588481	3314976	3329104	97.969
2796573	2811152	2565646	2580224	96.818
2128207	2142415	1866277	1880494	97.074
4218525	4232554	3922477	3936508	97.015
3375263	3389036	3116214	3130000	97.520
1505621	1518616	1405521	1418516	98.053
2811068	2824682	2579940	2593560	96.616
5049771	5062891	4696327	4709446	97.569
471036	484187	478677	491823	97.255
1342047	1354883	1279757	1292593	97.445
5229212	5241975	4926163	4938919	97.603
4185564	4197946	3909628	3922010	98.361
1450145	1463340	1336126	1349309	96.279
3626282	3638925	3370901	3383538	96.932
4575868	4587932	4302977	4315041	97.937
958162	970135	861349	873324	98.113
4747291	4759645	4494374	4506727	97.022
4703422	4715485	4438722	4450788	97.539
351761	363830	370125	382187	97.506
2776941	2788727	2547853	2559641	98.091
3917993	3929551	3680003	3691562	98.348
4001721	4013486	3745811	3757577	97.162
2970357	2981921	2719647	2731211	97.294
1051456	1063051	949268	960852	97.180
2911211	2922422	2665833	2677044	97.931
459757	471153	467264	478661	97.404
4716109	4727435	4451629	4462956	97.449
2416314	2428555	2190422	2202663	94.953
3503898	3514771	3241578	3252454	98.290
1584287	1595443	1433502	1444658	97.472
